CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Coahuila de Zaragoza,202601,Mayor o igual a 15 y menor a 20 años de edad,380.32,437.217222222,1078,981,97,0,201,198,3,0
7,Transportes y comunicaciones,Colima,202601,Mayor o igual a 15 y menor a 20 años de edad,357.07,420.602631579,442,406,36,0,40,38,2,0
7,Transportes y comunicaciones,Chiapas,202601,Mayor o igual a 15 y menor a 20 años de edad,373.6825,430.624285714,975,924,51,0,200,196,4,0
7,Transportes y comunicaciones,Chihuahua,202601,Mayor o igual a 15 y menor a 20 años de edad,399.855882353,418.718154982,1925,1683,242,0,288,271,17,0
7,Transportes y comunicaciones,Durango,202601,Mayor o igual a 15 y menor a 20 años de edad,320.216666667,414.726463415,788,723,65,0,85,82,3,0
7,Transportes y comunicaciones,Guanajuato,202601,Mayor o igual a 15 y menor a 20 años de edad,408.802,392.372830189,2158,2018,140,0,222,212,10,0
7,Transportes y comunicaciones,Guerrero,202601,Mayor o igual a 15 y menor a 20 años de edad,354.266666667,437.706638655,517,470,47,0,125,119,6,0
7,Transportes y comunicaciones,Hidalgo,202601,Mayor o igual a 15 y menor a 20 años de edad,362.363333333,435.735714286,320,296,24,0,59,56,3,0
7,Transportes y comunicaciones,Jalisco,202601,Mayor o igual a 15 y menor a 20 años de edad,375.173703704,435.400128535,4502,4092,410,0,805,778,27,0
7,Transportes y comunicaciones,México,202601,Mayor o igual a 15 y menor a 20 años de edad,386.716222222,393.087722513,8205,7508,697,0,809,764,45,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202601,Mayor o igual a 15 y menor a 20 años de edad,425.425,407.453170732,775,734,41,0,84,82,2,0
7,Transportes y comunicaciones,Morelos,202601,Mayor o igual a 15 y menor a 20 años de edad,354.406,396.108860759,971,889,82,0,84,79,5,0
7,Transportes y comunicaciones,Nayarit,202601,Mayor o igual a 15 y menor a 20 años de edad,382.144,431.899736842,447,416,31,0,119,114,5,0
7,Transportes y comunicaciones,Nuevo León,202601,Mayor o igual a 15 y menor a 20 años de edad,426.295517241,430.538875661,2864,2602,262,0,785,756,29,0
