CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Michoacán de Ocampo,202512,Entre 20 y 25 años,317.2533333,346.9759657,4599,4255,344,0,245,233,12,0
7,Transportes y comunicaciones,Morelos,202512,Entre 20 y 25 años,336.08,344.905288,4573,4115,458,0,205,191,14,0
7,Transportes y comunicaciones,Nayarit,202512,Entre 20 y 25 años,342.3333333,358.4103933,2563,2350,213,0,187,178,9,0
7,Transportes y comunicaciones,Nuevo León,202512,Entre 20 y 25 años,353.7693939,389.1508755,16104,14259,1845,0,1448,1382,66,0
7,Transportes y comunicaciones,Oaxaca,202512,Entre 20 y 25 años,332.6318182,362.1364091,4047,3700,347,0,231,220,11,0
7,Transportes y comunicaciones,Puebla,202512,Entre 20 y 25 años,310.4730769,350.8538559,9251,8539,712,0,498,472,26,0
7,Transportes y comunicaciones,Querétaro,202512,Entre 20 y 25 años,292.344,351.1040149,4006,3672,334,0,279,269,10,0
7,Transportes y comunicaciones,Quintana Roo,202512,Entre 20 y 25 años,308.8616667,351.2920755,4735,4207,528,0,224,212,12,0
7,Transportes y comunicaciones,San Luis Potosí,202512,Entre 20 y 25 años,330.768,357.0274933,5902,5350,552,0,386,371,15,0
7,Transportes y comunicaciones,Sinaloa,202512,Entre 20 y 25 años,370.8778571,374.0412432,8434,7754,680,0,569,555,14,0
7,Transportes y comunicaciones,Sonora,202512,Entre 20 y 25 años,329.843125,359.8407724,6174,5576,598,0,495,479,16,0
7,Transportes y comunicaciones,Tabasco,202512,Entre 20 y 25 años,365.5044444,368.587,4815,4380,435,0,249,240,9,0
7,Transportes y comunicaciones,Tamaulipas,202512,Entre 20 y 25 años,389.0316279,385.8545554,7830,6907,923,0,594,551,43,0
7,Transportes y comunicaciones,Tlaxcala,202512,Entre 20 y 25 años,299.615,341.4859259,1497,1419,78,0,56,54,2,0
7,Transportes y comunicaciones,Veracruz,202512,Entre 20 y 25 años,401.0151613,377.5378642,11368,10346,1022,0,635,604,31,0
7,Transportes y comunicaciones,Yucatán,202512,Entre 20 y 25 años,336.8226667,358.1297785,5827,5329,498,0,331,316,15,0
